title,address,author,date
[問卦] 肥宅可以娶 貝阿朵莉切 嗎？,/bbs/Gossiping/M.1557206307.A.631.html,TsukimiyaAyu, 5/07
Re: [新聞]自經區高雄轉型契機 李正皓翻舊聞打臉花媽,/bbs/Gossiping/M.1557206308.A.051.html,tonyko13, 5/07
[問卦] 如果日本比美國早一步研發出原子彈?,/bbs/Gossiping/M.1557206349.A.8E5.html,simons, 5/07
Re: [問卦] 如果全高雄人都來賣香腸的話?,/bbs/Gossiping/M.1557206354.A.480.html,njnjy, 5/07
[新聞] 賴清德批錯把文化認同當國家認同 韓國瑜,/bbs/Gossiping/M.1557206368.A.259.html,cores, 5/07
[問卦] 現在誰封麥一定會去搶票,/bbs/Gossiping/M.1557206377.A.A94.html,huan0, 5/07
[新聞] 回顧五次大規模滅絕 地球恐進入另一次大,/bbs/Gossiping/M.1557206381.A.5B5.html,haijin, 5/07
[臉書] 陳菊（花媽）,/bbs/Gossiping/M.1557206400.A.C5B.html,iasyt, 5/07
[新聞] 連3年阻台灣參與WHA外交部怒批中國邪惡,/bbs/Gossiping/M.1557206415.A.79E.html,chowray, 5/07
[問卦] 八卦板是智障板嗎？？？,/bbs/Gossiping/M.1557206427.A.45C.html,kkes0001, 5/07
[新聞] Google I/O 8日凌晨登場　除了Pixel新機,/bbs/Gossiping/M.1557206459.A.3B9.html,yuzukineko, 5/07
[問卦] VIP MVP HVP,/bbs/Gossiping/M.1557206534.A.12F.html,simoncha, 5/07
[新聞] 優格姐姐帶球閃嫁 拋震撼彈退出親子台,/bbs/Gossiping/M.1557206590.A.D6D.html,TVman, 5/07
[問卦] 打電話去現場call in節目告白會怎樣?,/bbs/Gossiping/M.1557206638.A.D06.html,wilson5566, 5/07
[問卦] 高雄是從什麼時候開始衰落的？,/bbs/Gossiping/M.1557206640.A.AF2.html,morgankhs, 5/07
[問卦] 過度阻攔自經區  台灣恐向下沉淪,/bbs/Gossiping/M.1557206667.A.B64.html,ergostepo, 5/07
[新聞] 朱立倫：台灣產品附加價值更高 MIC變MIT,/bbs/Gossiping/M.1557206690.A.595.html,meredith001, 5/07
[新聞] 賴清德訪日 幕後推手是她,/bbs/Gossiping/M.1557206697.A.953.html,brycekuo22, 5/07
[新聞] 4女同時懷孕！爸是16歲高中生 網驚：有前,/bbs/Gossiping/M.1557206707.A.BE0.html,aids893001, 5/07
[問卦] 競爭力是否正名為便宜貨或次等貨?,/bbs/Gossiping/M.1557206728.A.7CD.html,q76347kimo, 5/07
[公告] 八卦板板規(2019.02.21),/bbs/Gossiping/M.1550749445.A.B40.html,seabox, 2/21
[徵求]4/24 10:00-10:30下營區 台19行車紀錄器,/bbs/Gossiping/M.1556554633.A.34C.html,whalelala, 4/30
[徵求] 4/29 1800中壢新興路 行車紀錄器 (已發P幣,/bbs/Gossiping/M.1556611232.A.332.html,Coetzee, 4/30
[協尋] 朋友父親5/1於淡水關渡附近失蹤,/bbs/Gossiping/M.1556808805.A.D09.html,ballII, 5/02
[公告] 五月份置底閒聊區^Q^,/bbs/Gossiping/M.1556709908.A.942.html,RS5566, 5/01
title,address,author,date
Re: [新聞] 手抖遭疑做假 陳水扁怒嗆：要拍就拍個夠,/bbs/Gossiping/M.1557205892.A.DC8.html,tello, 5/07
Re: [新聞] 台北鹽酥雞「夾3樣190元」　四季豆夭壽貴,/bbs/Gossiping/M.1557205926.A.850.html,filmystery, 5/07
[新聞] 新泰國的舊政治（上）：玩不贏軍政府的「,/bbs/Gossiping/M.1557205952.A.9D7.html,AsamiImai, 5/07
[新聞] 質疑自導自演 北市議員控簡煥宗「1450網,/bbs/Gossiping/M.1557205955.A.FD5.html,q76347kimo, 5/07
[問卦] SHE紅在哪裡？,/bbs/Gossiping/M.1557205975.A.463.html,srwcc, 5/07
[問卦] 聽到鐘聲第一件事是幹嘛？,/bbs/Gossiping/M.1557205993.A.B50.html,ringko1, 5/07
Re: [臉書] 打馬悍將粉絲團 議員在問全中運，韓國瑜,/bbs/Gossiping/M.1557206010.A.9D6.html,maple0425, 5/07
"[問卦] 有沒有""給歐巴馬的信""的八卦?",/bbs/Gossiping/M.1557206066.A.340.html,goetz, 5/07
[新聞] 賴清德批郭董文化當國家認同　韓國瑜跳出,/bbs/Gossiping/M.1557206069.A.673.html,teramars, 5/07
[問卦] 當皇帝真的會荒淫無度嗎?,/bbs/Gossiping/M.1557206082.A.28A.html,c1236, 5/07
[新聞] 朱立倫：按民進黨假新聞標準 蔡英文要關三,/bbs/Gossiping/M.1557206108.A.57E.html,YusaAoi, 5/07
Re: [臉書] 打馬悍將粉絲團 議員在問全中運，韓國瑜,/bbs/Gossiping/M.1557206123.A.3C5.html,pshuang, 5/07
[問卦] 醫學界對阿扁是否裝精神病看法不一致怎辦,/bbs/Gossiping/M.1557206146.A.B23.html,st52332002, 5/07
[新聞]自經區高雄轉型契機 李正皓翻舊聞打臉花媽,/bbs/Gossiping/M.1557206153.A.9EE.html,dannyzzz, 5/07
Re: [新聞] 桃園升格3年舉債207億元 藍議員批鄭文燦,/bbs/Gossiping/M.1557206153.A.F5F.html,harkk2001, 5/07
Re: [問卦] 台灣網友今天不酸大陸股市了？,/bbs/Gossiping/M.1557206159.A.866.html,ak904, 5/07
[問卦] 什麼蔬果生吃意外的好吃,/bbs/Gossiping/M.1557206214.A.BB3.html,Greedguilty, 5/07
[新聞] 新莊堤外道轎車左轉撞機車　2女彈飛1人,/bbs/Gossiping/M.1557206215.A.DE0.html,linuxmint, 5/07
Re: [新聞] 共諜案輕判不再！ 刑法外患罪章修正三讀,/bbs/Gossiping/M.1557206225.A.F70.html,schizophrena, 5/07
[問卦] 陽光單身肥宅都跑去哪玩啊,/bbs/Gossiping/M.1557206244.A.8D9.html,ezJapan, 5/07
title,address,author,date
Re: [新聞] 桃園升格3年舉債207億元 藍議員批鄭文燦,/bbs/Gossiping/M.1557205368.A.545.html,deann, 5/07
[問卦] 為什麼台灣禁煙 西方國家禁酒,/bbs/Gossiping/M.1557205369.A.E9D.html,ffreakk, 5/07
[問卦] 區公所公務員是不是很爽,/bbs/Gossiping/M.1557205418.A.3C0.html,wwwson1256, 5/07
Re: [新聞] 中外交部被追問川普加稅問題 一度語無倫次,/bbs/Gossiping/M.1557205471.A.CCC.html,jasonp92, 5/07
[新聞] 八年級「客家妹」任勞任怨 獲桃市最年輕,/bbs/Gossiping/M.1557205474.A.D47.html,VB6, 5/07
Re: [新聞] 看不起「機車載小孩」3貼父母　T妹：別,/bbs/Gossiping/M.1557205478.A.800.html,redplum, 5/07
Re: [爆卦] 馬路裂開了,/bbs/Gossiping/M.1557205492.A.EAC.html,Markelle, 5/07
[問卦] 認真問 青年領袖會用針刺破白頭化膿處嗎,/bbs/Gossiping/M.1557205515.A.2F6.html,rtyujlk, 5/07
Re: [新聞] 農地最黑暗的一天！《工輔法》修正案違,/bbs/Gossiping/M.1557205543.A.9AA.html,yoyodiy, 5/07
Re: [問卦] 黃捷怎麼沒入選10大美女議員,/bbs/Gossiping/M.1557205558.A.96B.html,XperiaZ2A, 5/07
Re: [問卦] 區公所公務員是不是很爽,/bbs/Gossiping/M.1557205613.A.4CC.html,cycling, 5/07
[問卦] 龍角散是什麼龍的角做DER阿???,/bbs/Gossiping/M.1557205615.A.FC6.html,yoyodio, 5/07
[臉書] 鄭文燦,/bbs/Gossiping/M.1557205617.A.999.html,JPGstar, 5/07
[新聞] 運將不爽被超逼機車上人行道　狂追4分鐘,/bbs/Gossiping/M.1557205669.A.060.html,hw102050, 5/07
[問卦] 有什麼東西是加熱前加熱後味道會變的,/bbs/Gossiping/M.1557205717.A.9ED.html,-, 5/07
Re: [新聞] 中外交部被追問川普加稅問題 一度語無倫次,/bbs/Gossiping/M.1557205717.A.3E7.html,Phoenix9, 5/07
Re: [新聞] 日本歌手因觀眾太少當天臨時中止演唱會,/bbs/Gossiping/M.1557205790.A.565.html,GGMu, 5/07
[問卦] 為何亞洲很少有像歐洲一樣整都市古城區？,/bbs/Gossiping/M.1557205873.A.734.html,realtw, 5/07
[問卦] 如果全高雄人都來賣香腸的話?,/bbs/Gossiping/M.1557205878.A.F2E.html,smd1201, 5/07
title,address,author,date
[問卦] 隨身帶瑞士刀的都什麼人?,/bbs/Gossiping/M.1557204929.A.A8F.html,PanaS0Nic, 5/07
[問卦] 連勝文那年代的輔大難考嗎,/bbs/Gossiping/M.1557204936.A.B66.html,grace0523, 5/07
[新聞] 林岱樺附帶決議「毀農滅國」 環團籲各黨,/bbs/Gossiping/M.1557205002.A.2C9.html,alterna, 5/07
Re: [新聞] 台北鹽酥雞「夾3樣190元」　四季豆夭壽貴,/bbs/Gossiping/M.1557205017.A.7AC.html,ayasesayuki, 5/07
[新聞] 全台最美祈禱室　穆斯林齋戒月啟用,/bbs/Gossiping/M.1557205018.A.82C.html,chernenko, 5/07
[新聞] 川普對中共重磅課稅 民主黨領袖罕見高調支,/bbs/Gossiping/M.1557205024.A.ABA.html,Yirgacheffe, 5/07
[臉書] 打馬悍將粉絲團 議員在問全中運，韓國瑜,/bbs/Gossiping/M.1557205027.A.511.html,srdarren, 5/07
Re: [新聞] 中外交部被追問川普加稅問題 一度語無倫次,/bbs/Gossiping/M.1557205100.A.19F.html,bota, 5/07
[問卦] 18號平時在家都在幹嘛？,/bbs/Gossiping/M.1557205109.A.E87.html,signm, 5/07
[問卦] 發現室友是網紅，有好處嗎?,/bbs/Gossiping/M.1557205112.A.D6C.html,Festo, 5/07
Re: [臉書] 打馬悍將粉絲團 議員在問全中運，韓國瑜,/bbs/Gossiping/M.1557205182.A.D83.html,richshen, 5/07
[爆卦] 內地網民對于特朗普加稅搶劫的反應！,/bbs/Gossiping/M.1557205228.A.FDB.html,GreaterChina, 5/07
[問卦] 國外讀碩士一年是去洗學歷的嗎？？,/bbs/Gossiping/M.1557205239.A.97A.html,teeheehee, 5/07
[問卦] 辦線上烤香腸大賽有睪頭嗎？,/bbs/Gossiping/M.1557205272.A.CED.html,adf926, 5/07
Re: [新聞] 中國再次阻撓台灣參與WHA AIT：排除台灣,/bbs/Gossiping/M.1557205299.A.ACF.html,Sinreigensou, 5/07
Re: [新聞] 桃園升格3年舉債207億元 藍議員批鄭文燦,/bbs/Gossiping/M.1557205312.A.D69.html,winnabe, 5/07
[問卦] 姚姚是不是真男人,/bbs/Gossiping/M.1557205316.A.41C.html,gmbad, 5/07
[問卦] 欸 為何來台灣的外勞都擦同味道的香水,/bbs/Gossiping/M.1557205326.A.BE1.html,nobel777, 5/07
[新聞]「天理難容」四川越野車撞行人後加速輾壓,/bbs/Gossiping/M.1557205337.A.1AC.html,eeth, 5/07
[新聞] 一文解析聯邦大選 你應該知道哪些事？,/bbs/Gossiping/M.1557205355.A.234.html,OusakaMegumu, 5/07
title,address,author,date
Re: [問卦] 為什麼憋大便的時候會放屁？？？,/bbs/Gossiping/M.1557204440.A.ECD.html,redDest, 5/07
[問卦] 驚奇隊長的屁屁><,/bbs/Gossiping/M.1557204444.A.C5E.html,CavendishJr, 5/07
Re: [新聞] 日本歌手因觀眾太少當天臨時中止演唱會,/bbs/Gossiping/M.1557204447.A.E6F.html,ggglassese, 5/07
[新聞] 農地最黑暗的一天！《工輔法》修正案違,/bbs/Gossiping/M.1557204451.A.149.html,cc9i, 5/07
[新聞] 高市局處首長未補齊 韓國瑜：其實都已經,/bbs/Gossiping/M.1557204456.A.3EB.html,Pietro, 5/07
[問卦] 無頭鴨鴨是要準備機甲合體嗎？☺  ,/bbs/Gossiping/M.1557204462.A.E01.html,snoe1119, 5/07
[問卦] HEBE是怎麼轉型成功的,/bbs/Gossiping/M.1557204503.A.F9E.html,e1447e, 5/07
[問卦] 阿發狗下棋的時候在幹嘛？,/bbs/Gossiping/M.1557204570.A.EF7.html,gerychen, 5/07
[新聞]聯國報告:百萬物種瀕絕許多恐數十年間消失,/bbs/Gossiping/M.1557204620.A.F24.html,JPGstar, 5/07
Re: [問卦] 如果已經魯到40歲，還有必要衝買套房嗎,/bbs/Gossiping/M.1557204625.A.FC2.html,truthmanman, 5/07
[爆卦] TVBS爆復仇者聯盟的大雷,/bbs/Gossiping/M.1557204684.A.63F.html,gosee, 5/07
[問卦] 屯田署長平常都在幹嘛?,/bbs/Gossiping/M.1557204717.A.93D.html,coga4712, 5/07
[問卦] 台南是文化首都那高雄怎麼稱呼呢？,/bbs/Gossiping/M.1557204723.A.359.html,kerkers, 5/07
Re: [爆卦] 馬路裂開了,/bbs/Gossiping/M.1557204745.A.27C.html,askingts, 5/07
