title,address,author,date
[謎片] 問 歐美 肌肉  有人知道這部片嗎,/bbs/LGBT_SEX/M.1557038236.A.4D0.html,nick17580bb, 5/05
[請問] 關於聖人模式,/bbs/LGBT_SEX/M.1557156678.A.4A5.html,-, 5/05
[公告] 板規  2019/02/22,/bbs/LGBT_SEX/M.1315494264.A.10E.html,-, 5/06
[公告] 新同志性板匿名信箱使用規範,/bbs/LGBT_SEX/M.1321410611.A.BED.html,Sebertian, 5/06
[公告] 海外同志情色之旅徵文 (長期),/bbs/LGBT_SEX/M.1504355150.A.A91.html,Fandihaha, 9/08
[資訊] 各縣市匿篩與同志資訊,/bbs/LGBT_SEX/M.1514514263.A.4AE.html,SEXLGBT,11/16
title,address,author,date
Re: [男男] 另一半性慾如果不強要怎麼調適,/bbs/LGBT_SEX/M.1556106268.A.C04.html,da17, 4/24
[男男] 有人不愛肌肉男 喜歡小肚腩的嗎？,/bbs/LGBT_SEX/M.1556212829.A.E1A.html,inspire2000, 4/26
[經驗] 青春軼事(九),/bbs/LGBT_SEX/M.1556268249.A.FDD.html,carlization, 4/26
[醫療] 成大醫院愛滋病篩檢,/bbs/LGBT_SEX/M.1556292234.A.AAE.html,quadro, 4/26
Fw: [活動] 臺師大愛洛生活節性平影展及AV性福特訓,/bbs/LGBT_SEX/M.1556295572.A.CA8.html,a3340597, 4/27
刪除,/bbs/LGBT_SEX/M.1556436817.A.F7C.html,josh82118, 4/28
[討論] 最近軟體很多盜照片詐騙的,/bbs/LGBT_SEX/M.1556441506.A.929.html,hebeshaman, 4/28
[謎片] 請問這部片名,/bbs/LGBT_SEX/M.1556443233.A.75F.html,whoamia, 4/28
[請問] 男友不做愛,/bbs/LGBT_SEX/M.1556449412.A.D35.html,yaiew, 4/28
[請問] 這位GV男優的名字,/bbs/LGBT_SEX/M.1556470556.A.DFD.html,YABN, 4/29
[謎片] 求這部片名或男優名字,/bbs/LGBT_SEX/M.1556596328.A.A20.html,totoro123, 4/30
[請問] 完全家族,/bbs/LGBT_SEX/M.1556627066.A.DB2.html,loveve5566, 4/30
[謎片] 一隻歐美刺青熊,/bbs/LGBT_SEX/M.1556770149.A.E3D.html,-, 5/01
[創作] 怎麼辦我把別人肚子搞大了 (2),/bbs/LGBT_SEX/M.1556803020.A.7A1.html,sandboxes, 5/02
[分享] 一些傻眼的約砲日記-5,/bbs/LGBT_SEX/M.1556893737.A.38E.html,DogHomin, 5/02
Fw: [情報] 108年預防性投藥補助計畫,/bbs/LGBT_SEX/M.1556950196.A.5D2.html,Sociology, 5/03
Fw: [篩檢] 嘉義108年05月份免費快速匿名篩檢,/bbs/LGBT_SEX/M.1556957054.A.227.html,sunshine10kh, 5/04
[請問] 想請教各位厲害的Top或不分,/bbs/LGBT_SEX/M.1556961873.A.1BA.html,qaz70253, 5/04
title,address,author,date
[謎片] 這部刺青男優的片名或名字,/bbs/LGBT_SEX/M.1555659348.A.E0C.html,SEXLGBT, 4/19
[謎片] 神這位男優,/bbs/LGBT_SEX/M.1555659446.A.049.html,SEXLGBT, 4/19
Re: [醫療] HIV暴露後預防PEP經驗分享,/bbs/LGBT_SEX/M.1555659486.A.958.html,SEXLGBT, 4/19
[男男] 桃園精油按摩推薦,/bbs/LGBT_SEX/M.1555659521.A.2AB.html,SEXLGBT, 4/19
[男男] 另一半性慾如果不強要怎麼調適,/bbs/LGBT_SEX/M.1555659573.A.1CA.html,SEXLGBT, 4/19
[討論] 網路上看到的小說[警察熊爸爸],/bbs/LGBT_SEX/M.1555676377.A.496.html,lovebear920, 4/19
Re: [請問] 近2年內，日本有新AV男優推薦嗎？,/bbs/LGBT_SEX/M.1555742919.A.2B8.html,SallyQ, 4/20
[請問] 控射有教學文嗎？,/bbs/LGBT_SEX/M.1555825975.A.7ED.html,ofnfline, 4/21
[謎片] 神這位男優跟這個片,/bbs/LGBT_SEX/M.1555831037.A.5C7.html,brad0815, 4/21
[心得] 歡場記事，暗房中的人,/bbs/LGBT_SEX/M.1555844097.A.F9F.html,sjdl19676, 4/21
[交易] 香港SINMIS搖情ROCK AV棒（已售出）,/bbs/LGBT_SEX/M.1555865100.A.EBE.html,Mirumodepon, 4/22
Fw: [情報] 音樂劇《禁羈社群》曲目2.「繩縛實踐」,/bbs/LGBT_SEX/M.1555870105.A.09C.html,wilma0621, 4/22
[討論] 當奴是不是可以吃到帥哥的機率大增,/bbs/LGBT_SEX/M.1555897178.A.2CB.html,hebeshaman, 4/22
Fw: [資訊] HERO中心PrEP使用者心得分享,/bbs/LGBT_SEX/M.1555916745.A.4A4.html,sunshine10kh, 4/22
[討論] 最近軟體上面是不是一堆詐騙阿?,/bbs/LGBT_SEX/M.1555930450.A.80C.html,hebeshaman, 4/22
[遊記] 高雄himan週末,/bbs/LGBT_SEX/M.1555930989.A.880.html,chansip, 4/22
[請問] 自行修陰毛,/bbs/LGBT_SEX/M.1555997265.A.AEB.html,d810730, 4/23
Re: [請問] 自行修陰毛,/bbs/LGBT_SEX/M.1556025225.A.517.html,tontontonni, 4/23
[請問] 這位AV男優是誰,/bbs/LGBT_SEX/M.1556040639.A.342.html,goodnews, 4/24
[創作] 催眠異男堂哥,/bbs/LGBT_SEX/M.1556091518.A.F1B.html,ofnfline, 4/24
title,address,author,date
Re: [創作] 魔鬼幹訓營,/bbs/LGBT_SEX/M.1555354173.A.858.html,da17, 4/16
[討論] 約炮尷尬回憶錄,/bbs/LGBT_SEX/M.1555499228.A.93C.html,jason70125, 4/17
[討論] 自稱溫柔型1號的經驗分享,/bbs/LGBT_SEX/M.1555506360.A.B5F.html,auti4202, 4/17
[請問] 找一位男優..,/bbs/LGBT_SEX/M.1555512187.A.DD7.html,jayjay2, 4/17
Re: [討論] 約炮尷尬回憶錄,/bbs/LGBT_SEX/M.1555523936.A.896.html,Terry5278, 4/18
[討論] 愛與煙雲的心得筆記,/bbs/LGBT_SEX/M.1555525034.A.C28.html,ian19958426, 4/18
[請問] 這個男優叫什麼名字,/bbs/LGBT_SEX/M.1555582121.A.115.html,weihamburger, 4/18
[請問] 為什麼沒有「貓」？,/bbs/LGBT_SEX/M.1555583329.A.AFA.html,elliotpvt, 4/18
Re: [請問] 為什麼沒有「貓」？,/bbs/LGBT_SEX/M.1555588916.A.123.html,sjdl19676, 4/18
Re: [討論] 自稱溫柔型1號的經驗分享,/bbs/LGBT_SEX/M.1555590594.A.E14.html,auti4202, 4/18
Re: [請問] 為什麼沒有「貓」？,/bbs/LGBT_SEX/M.1555601665.A.EA2.html,da17, 4/18
Re: [討論] 約炮尷尬回憶錄,/bbs/LGBT_SEX/M.1555605178.A.46B.html,jopolulu, 4/19
[創作] 陳家豪 013,/bbs/LGBT_SEX/M.1555628858.A.891.html,iTao, 4/19
[請問] gaycock4u,/bbs/LGBT_SEX/M.1555657794.A.28E.html,quitman, 4/19
[遊記] 日本,/bbs/LGBT_SEX/M.1555659136.A.1E8.html,SEXLGBT, 4/19
[謎片] 神一部借充電後做愛的歐美片,/bbs/LGBT_SEX/M.1555659163.A.318.html,SEXLGBT, 4/19
[謎片] 請幫神一部日片,/bbs/LGBT_SEX/M.1555659191.A.4EA.html,SEXLGBT, 4/19
[討論] 你做過最刺激的地方在哪？,/bbs/LGBT_SEX/M.1555659217.A.822.html,SEXLGBT, 4/19
[謎片] 片名詢問,/bbs/LGBT_SEX/M.1555659246.A.BEA.html,SEXLGBT, 4/19
[謎片] 想神台灣自製戀足片,/bbs/LGBT_SEX/M.1555659285.A.584.html,SEXLGBT, 4/19
title,address,author,date
Re: [遊記] 高雄himan微心得,/bbs/LGBT_SEX/M.1554989678.A.9D7.html,s98405034, 4/11
[謎片] 請問這個教練按摩學生番號?,/bbs/LGBT_SEX/M.1554992427.A.059.html,oomen, 4/11
Re: [校園] 新體健身房打砲po影片是什麼心態,/bbs/LGBT_SEX/M.1555012938.A.D96.html,tontontonni, 4/12
[遊記] 福岡GOLD SIGN發展場,/bbs/LGBT_SEX/M.1555039986.A.45D.html,takei521, 4/12
[謎片] 跪求此部也太帥,/bbs/LGBT_SEX/M.1555040808.A.560.html,henry0621, 4/12
[公告] Wayne0933 水桶一個月,/bbs/LGBT_SEX/M.1555042337.A.90F.html,Fandihaha, 4/12
[遊記] 布里斯本wet spa觀光小分享,/bbs/LGBT_SEX/M.1555057295.A.0B5.html,zero04685, 4/12
[謎片] 在表情包看到的男生,/bbs/LGBT_SEX/M.1555064457.A.1E1.html,airbs69, 4/12
[遊記] 泰國Mania 三溫暖心得之餓零纏身,/bbs/LGBT_SEX/M.1555090487.A.F78.html,b11178, 4/13
[討論] 回應「公共場所打炮還Po上網就是噁心」,/bbs/LGBT_SEX/M.1555121475.A.B07.html,ltjun89, 4/13
[遊記] 初訪Gs hotel ,/bbs/LGBT_SEX/M.1555126073.A.BE2.html,alex850613, 4/13
Re: [校園] 新體健身房打砲po影片是什麼心態,/bbs/LGBT_SEX/M.1555136908.A.48F.html,Pingyeimiu, 4/13
[遊記] 布里斯本club29小探險,/bbs/LGBT_SEX/M.1555138475.A.00B.html,zero04685, 4/13
[交易] 已售出,/bbs/LGBT_SEX/M.1555146722.A.FB8.html,yuyu1614, 4/13
[遊記] 性技能錦標賽心得,/bbs/LGBT_SEX/M.1555180252.A.1E0.html,okyomogun, 4/14
[節目] 潤男的room| 吃過黑人就回不去了? 專訪 ,/bbs/LGBT_SEX/M.1555222897.A.31D.html,s0w0a0n0, 4/14
[交易] 售 豪門三少之霸道總裁（已售出）,/bbs/LGBT_SEX/M.1555237821.A.395.html,songyichin, 4/14
[請問] 有人試過這款假屌嗎？徵求使用心得,/bbs/LGBT_SEX/M.1555283300.A.127.html,paddyh, 4/15
[創作] 怎麼辦我把別人肚子搞大了,/bbs/LGBT_SEX/M.1555335951.A.100.html,DogHomin, 4/15
[謎片] 請問一下此片片名,/bbs/LGBT_SEX/M.1555339967.A.DDF.html,energytouch, 4/15
title,address,author,date
[請問] 近2年內，日本有新AV男優推薦嗎？,/bbs/LGBT_SEX/M.1554369966.A.B40.html,tontontonni, 4/04
[謎片] 我喜歡的白皙牛奶系男優,/bbs/LGBT_SEX/M.1554398139.A.791.html,iammashu, 4/05
[經驗] 偽娘奇遇記,/bbs/LGBT_SEX/M.1554400502.A.7AC.html,opvacancy, 4/05
[謎片] 請問下圖的部分，是哪部片？,/bbs/LGBT_SEX/M.1554429079.A.0C4.html,kumadaisuki, 4/05
[開箱] 水果噴噴杯,/bbs/LGBT_SEX/M.1554495718.A.BF3.html,a880081, 4/06
[謎片] 神這位男優名字,/bbs/LGBT_SEX/M.1554514529.A.B77.html,maxw1102, 4/06
[請問] 男用情趣內褲,/bbs/LGBT_SEX/M.1554522717.A.494.html,BanPeeBan, 4/06
[討論] 軟屁股和硬屁股，大家豆幾？,/bbs/LGBT_SEX/M.1554566507.A.56A.html,tontontonni, 4/07
[討論] 皇池一館已取代皇鼎？,/bbs/LGBT_SEX/M.1554574880.A.25A.html,CRS339, 4/07
[心得] 首次皮丘日心得,/bbs/LGBT_SEX/M.1554644477.A.88E.html,sjdl19676, 4/07
[討論] 把精液當潤滑液,/bbs/LGBT_SEX/M.1554647595.A.F6D.html,thsyou9527, 4/07
[請問] 一直夾,/bbs/LGBT_SEX/M.1554655843.A.432.html,jasse0627, 4/08
[創作] 牠們（一）,/bbs/LGBT_SEX/M.1554726860.A.414.html,Tutt, 4/08
[討論] 台北幾間旅館心得,/bbs/LGBT_SEX/M.1554733668.A.CD3.html,IwasHappy, 4/08
[請問] 去旅館休息三個人怎麼進去,/bbs/LGBT_SEX/M.1554793790.A.BC3.html,Greedguilty, 4/09
[謎片] 好帥的AV劇情男優,/bbs/LGBT_SEX/M.1554806897.A.815.html,looh, 4/09
[請問] 三人行是不是真的很難啊,/bbs/LGBT_SEX/M.1554873854.A.4A2.html,Greedguilty, 4/10
[雙性] 純情野獸,/bbs/LGBT_SEX/M.1554921073.A.388.html,akida11, 4/11
[請問] 泰國kora xperiment男模的屌是真的嗎？,/bbs/LGBT_SEX/M.1554924936.A.726.html,tontontonni, 4/11
Re: [校園] 新體健身房打砲po影片是什麼心態,/bbs/LGBT_SEX/M.1554979600.A.B63.html,tontontonni, 4/11
title,address,author,date
Re: [請問] 要如何像航君一樣連續射精2次？,/bbs/LGBT_SEX/M.1553900979.A.634.html,homotw, 3/30
Re: [討論] 有太鼓腹控嗎,/bbs/LGBT_SEX/M.1553919661.A.44E.html,ezdoesit, 3/30
Re: [請問] 戴套易軟,/bbs/LGBT_SEX/M.1553992778.A.797.html,yidext, 3/31
Re: [請問] 戴套易軟,/bbs/LGBT_SEX/M.1554009770.A.005.html,stockeye, 3/31
[請問] 飛機杯瀝乾與保養,/bbs/LGBT_SEX/M.1554020837.A.5D1.html,sjdl19676, 3/31
