title,address,author,date
[問題] 中興應經Vs北大不動產,/bbs/SENIORHIGH/M.1557137952.A.543.html,c62460, 5/06
[情報] 2019亞大聽語營_聲林危機,/bbs/SENIORHIGH/M.1557146129.A.5B6.html,aa0975513185, 5/06
[問題] 關於個人申請放棄期限及指考報名,/bbs/SENIORHIGH/M.1557148466.A.B65.html,dukery, 5/06
[情報] 有關大葉國企跟商科轉學考,/bbs/SENIORHIGH/M.1557149078.A.1CB.html,transferlife, 5/06
[問題] 應屆生能否自行報名指考和放棄志願,/bbs/SENIORHIGH/M.1557149514.A.3C6.html,lpk8610fe, 5/06
[問題] 化學系選擇（帶po),/bbs/SENIORHIGH/M.1557149884.A.1F8.html,sam1689, 5/06
[問題] 長庚科大護理/義守醫工/亞洲健管（代po),/bbs/SENIORHIGH/M.1557150444.A.F7A.html,linnnnnn67, 5/06
[問題] 世新資管/淡江資訊圖書(代po),/bbs/SENIORHIGH/M.1557153229.A.462.html,rhymelover, 5/06
[問題] 化學系：中央vs中興vs中山,/bbs/SENIORHIGH/M.1557153280.A.411.html,peiyu1982, 5/06
Re: [問題] 中央財金 VS 指考,/bbs/SENIORHIGH/M.1557156233.A.2CD.html,lee457088, 5/06
[問題] 亞洲財法/銘傳企管,/bbs/SENIORHIGH/M.1557157789.A.CE9.html,lplm, 5/06
Re: [問題]臺大物理vs 清大電機（代po）,/bbs/SENIORHIGH/M.1557180599.A.A0E.html,NTUEE2CS, 5/07
[分享] 高二第二次段考公式+常考題整理,/bbs/SENIORHIGH/M.1557196446.A.7D1.html,callmedance, 5/07
[問題] 代po 中興化學VS中山化學,/bbs/SENIORHIGH/M.1557198599.A.2AA.html,-, 5/07
[新聞] 首位應屆錄取哈佛大學 嘉中創校百年紀錄,/bbs/SENIORHIGH/M.1557204232.A.E7B.html,percypei, 5/07
[公告] 交易(徵求買賣合購等)置底專區,/bbs/SENIORHIGH/M.1540047395.A.F15.html,-, 5/07
[公告] 本板板規【板務討論請洽 SENIOR_BM板】,/bbs/SENIORHIGH/M.1519144202.A.533.html,etei, 5/07
[公告] 校系資訊分享 & 交流區,/bbs/SENIORHIGH/M.1553184815.A.4C4.html,lee457088,10/20
[公告] 回報文開放 暨 徵文活動說明,/bbs/SENIORHIGH/M.1553627366.A.788.html,littlebike, 2/21
[情報] 108學年重要升學時程,/bbs/SENIORHIGH/M.1548635675.A.628.html,dragon327, 3/22
title,address,author,date
[問題] 國防醫軍費vs中國醫中醫乙組,/bbs/SENIORHIGH/M.1557070796.A.010.html,haha2000326, 5/05
Re: [問題] 清大電機vs台大化工（代po）,/bbs/SENIORHIGH/M.1557071821.A.CC9.html,b01504048, 5/05
[問題] 輔仁織品行銷 V.S 中山劇場藝術 （代PO）,/bbs/SENIORHIGH/M.1557073659.A.1F6.html,k23043419, 5/06
[問題] 中央財金 VS 指考,/bbs/SENIORHIGH/M.1557075208.A.FB9.html,ky728, 5/06
Re: [問題]臺大物理vs 清大電機（代po）,/bbs/SENIORHIGH/M.1557083836.A.7D3.html,-, 5/06
[問題] 中央機械vs中山機械vs台科化工,/bbs/SENIORHIGH/M.1557096958.A.282.html,-, 5/06
[討論] 臺東資工、文化法律、世新法律(代po),/bbs/SENIORHIGH/M.1557105727.A.27A.html,ggyy1122, 5/06
[問題] (代PO) 選校系 暨南應化vs高雄醫醫藥應用,/bbs/SENIORHIGH/M.1557113384.A.675.html,jor96115, 5/06
[問題] 一題生物,/bbs/SENIORHIGH/M.1557118606.A.A74.html,-, 5/06
[問題] 台大資工錄取分數,/bbs/SENIORHIGH/M.1557123364.A.C14.html,somenoyuki, 5/06
Re: [問題] 關於學籍還有學分抵免的問題 代po,/bbs/SENIORHIGH/M.1557125765.A.115.html,fck01, 5/06
[新聞] 斗中17位學生推薦申請錄取台大等醫學系,/bbs/SENIORHIGH/M.1557132605.A.C7A.html,-, 5/06
Re: [問題] 中央財金 VS 指考,/bbs/SENIORHIGH/M.1557133375.A.D26.html,UntermRad, 5/06
[問題] 明年學測生請益,/bbs/SENIORHIGH/M.1557134848.A.BF0.html,ben102938, 5/06
[問題] 科系選擇及獸醫系相關問題（代po),/bbs/SENIORHIGH/M.1557136498.A.5DF.html,TaiwaNumber1, 5/06
title,address,author,date
Re: [新聞] 薇閣高中6人正取台大醫 占50名額一成,/bbs/SENIORHIGH/M.1557033128.A.5A8.html,-, 5/05
[問題] 輔大資管 VS 東吳資管 都幾,/bbs/SENIORHIGH/M.1557034175.A.1CF.html,-, 5/05
Re: [新聞] 薇閣高中6人正取台大醫 占50名額一成,/bbs/SENIORHIGH/M.1557034518.A.61E.html,xcnx123, 5/05
[問題] 指考國文,/bbs/SENIORHIGH/M.1557035390.A.919.html,HCS0730, 5/05
[心得] 原住民語自學和中級考照,/bbs/SENIORHIGH/M.1557035855.A.6F7.html,ddss, 5/05
Re: [問題] 這一屆台大醫科的素質，有從前那麼高ㄇ?,/bbs/SENIORHIGH/M.1557037993.A.E3F.html,justanerd, 5/05
[問題] 指考58天，英文如何讀？,/bbs/SENIORHIGH/M.1557040138.A.716.html,KParmy, 5/05
[問題] 指考數學範圍,/bbs/SENIORHIGH/M.1557041178.A.413.html,kiwi0607, 5/05
[問題] 數乙問題,/bbs/SENIORHIGH/M.1557041310.A.DCA.html,MiddleRe, 5/05
[討論] 東海社會 VS 東華社會（代po),/bbs/SENIORHIGH/M.1557041843.A.46D.html,gambit0, 5/05
[問題] 清大轉系問題,/bbs/SENIORHIGH/M.1557043215.A.67B.html,ninefiveone, 5/05
[問題] 引航基化三,/bbs/SENIORHIGH/M.1557043965.A.018.html,ting76123, 5/05
[問題] 寫化學互動式講義夠嗎,/bbs/SENIORHIGH/M.1557050386.A.EAF.html,k2091789, 5/05
[心得]政大企管面試,/bbs/SENIORHIGH/M.1557053293.A.F18.html,a22570111, 5/05
[問題] 中原電機VS雲科大電機,/bbs/SENIORHIGH/M.1557057859.A.D8F.html,epdhkohk, 5/05
Re: [情報] 高中數學免費解題(高雄科工館),/bbs/SENIORHIGH/M.1557058805.A.F2A.html,mathtsai, 5/05
[問題] 國立後段資工,/bbs/SENIORHIGH/M.1557067913.A.82C.html,oldbone, 5/05
Re: [討論] 家境清寒的學生真的有機會翻身嗎？,/bbs/SENIORHIGH/M.1557068790.A.D84.html,diego99, 5/05
title,address,author,date
[討論] 繁星上台大牙有多強?,/bbs/SENIORHIGH/M.1556964876.A.B54.html,footart, 5/04
Re: [心得] 為甚麼學測這麼樣糟糕的一個制度，仍然一,/bbs/SENIORHIGH/M.1556967572.A.FC1.html,dlmgn, 5/04
[問題] 清大原科vs交大理學院學士班丙組,/bbs/SENIORHIGH/M.1556968537.A.98A.html,ILMD, 5/04
[贈送] 高中國文全譯本要覽1－6冊(已贈),/bbs/SENIORHIGH/M.1556969708.A.20D.html,nest0380, 5/04
Re: [心得]關於推甄與弱勢家庭學生,/bbs/SENIORHIGH/M.1556969730.A.8D8.html,oeoeoauch, 5/04
[問題] 兩題化學,/bbs/SENIORHIGH/M.1556971585.A.A4A.html,happiness77, 5/04
[問題] 兩題數學,/bbs/SENIORHIGH/M.1556974779.A.86F.html,lin91223, 5/04
[討論] 家境清寒的學生真的有機會翻身嗎？,/bbs/SENIORHIGH/M.1556976583.A.E89.html,huskymilk, 5/04
