[心得] 108資工所考試心得 - 看板 graduate - 批踢踢實業坊,magic83v,: 樓下也是eric,    39.8.132.68 05/05 19:19
[心得] 108資工所考試心得 - 看板 graduate - 批踢踢實業坊,magic83v,: 凹嗚>\\\\\\<,    39.8.132.68 05/05 23:07
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,": 應該是removed ,而不是說missed", 03/24 22:18
106成大資結(7) （9）求詳解 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: QQ不會寫, 02/24 07:28
[理工] 北科大資工試題 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 說是程式設計 但其實考的也幾乎都是資結筆記裡的程式碼,02/23 06:19
[理工] 北科大資工試題 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,:  加油,02/23 06:19
108 成大數學 1 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 每題都勇敢的乘開你會看到漂亮的答案, 02/23 16:39
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,:  https://i.imgur.com/8puG1ZR.jpg, 02/20 19:12
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: R大我紅筆的畫線的地方 是固定選好的 固定位置 剩下的, 02/20 19:13
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 排列嗎？, 02/20 19:13
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 還有上半跟下半的作法好像不一樣?, 02/20 19:13
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,:  https://i.imgur.com/lhvuuLx.jpg, 02/20 19:26
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 感謝你的答案 能請你幫我看一下我的這段疑問嗎, 02/20 19:26
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 我好像知道了0.0 順序給定的情況 不用討論換位, 02/20 19:31
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 第二題子嘉分類題庫4-65, 02/21 17:21
[理工] 107成大電通 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 違法記憶體存取, 02/20 19:28
[理工] 107成大電通 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 為什麼不算0.0, 02/21 16:40
[理工] 107成大電通 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 但是是cpu去存取違法位址 (? 我也不確定, 02/21 17:21
[理工] 106 成大電通 資結 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 有沒有n個點都不同set 的情況 第一次find要找n個set?, 02/21 22:22
[理工] 106 成大電通 資結 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 最快的怪怪的(? 那換成dfs 也對嗎, 02/22 00:41
