[理工] 108成大資工 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 凹嗚竟然不知道sky是誰   就是那一位啊, 02/25 09:44
[理工] 台大計系 請問 NUMA - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 就爆開了, 02/15 12:51
[理工] 108成大資工 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 凹嗚竟然不知道sky是誰   就是那一位啊, 02/25 09:44
[理工] 台大計系 請問 NUMA - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 就爆開了, 02/15 12:51
[心得] （代po)考研心得 - 看板 graduate - 批踢踢實業坊,q79236,: 下去拉, 114.137.47.182 04/18 15:51
[理工] 108中山離散鴿籠? - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 爆開了  -12, 02/02 23:12
[請益] 找不到教授怎麼辦 - 看板 graduate - 批踢踢實業坊,q79236,: 如果只是ML的話其實每個老師或多或少都會,   218.161.9.92 03/27 09:23
[請益] 找不到教授怎麼辦 - 看板 graduate - 批踢踢實業坊,q79236,: 做到  畢竟是現在最熱門的產業,   218.161.9.92 03/27 09:23
[心得] 108資工所x考試x心得 - 看板 graduate - 批踢踢實業坊,q79236,: 暗黑大師推推,218.161.9.92 03/23 22:49
[心得] 高職跨考仔也能上台大網媒暨資工資源 - 看板 graduate - 批踢踢實業坊,q79236,: 我好像知道你是誰@@,  140.112.25.30 03/22 15:09
[心得] 高職跨考仔也能上台大網媒暨資工資源 - 看板 graduate - 批踢踢實業坊,q79236,: 我知道你是誰就好><,  140.112.25.30 03/22 16:17
[心得] 108資工所重考心得+補習分享+一些資源 - 看板 graduate - 批踢踢實業坊,q79236,: 噓台大仔,218.161.9.92 03/23 00:32
[心得] 108資工所考試心得 - 看板 graduate - 批踢踢實業坊,q79236,: 意外收穫是發現sky葛格嗎？,218.161.9.92 03/22 00:06
[心得]資工跨考補習廢物心得 - 看板 graduate - 批踢踢實業坊,q79236,: IP錯誤  下去啦,  140.112.25.30 03/22 13:37
[心得]資工跨考補習廢物心得 - 看板 graduate - 批踢踢實業坊,q79236,: 樓上崩潰什麼啦  誰說一定要對CS有愛才能,   218.161.9.92 03/23 00:57
[心得]資工跨考補習廢物心得 - 看板 graduate - 批踢踢實業坊,q79236,: 讀   依就業考量選CS不可以嗎？,   218.161.9.92 03/23 00:58
[理工]107中央離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: E跟D不是一樣的東西嘛？？為什麼不行？, 12/20 18:41
[理工]107中央離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 沒事  被圖片遮住E了, 12/20 18:41
[理工] HC - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 這好像是老師上課說可以用來證明沒有HC的一種手法  但是沒, 12/09 12:45
[理工] HC - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 給出具體證明   所以想上來問問版友有沒有聽過類似的證明, 12/09 12:45
[理工] HC - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 手法或相關的定理證明, 12/09 12:45
[理工] HC - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 好的   感謝樓上兩位, 12/09 13:12
[理工] OS題庫 deadlock問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 如果低優先權把持高優先權的memory不放  高優先權的proces, 12/11 16:15
[理工] OS題庫 deadlock問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: s無法取得memory進行工作  而低優先權也沒辦法取得CPU進行, 12/11 16:15
[理工] OS題庫 deadlock問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 工作  就是進入Deadlock了, 12/11 16:15
[理工] 線代 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 他的意思是題目的意思表達要打好...,12/11 23:45
[理工] 線代 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 把逗號改成則吧  不然很多人會看不懂,12/11 23:45
[理工] 線代 第八章證明問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 正定保證是Hermitan  不代表Hermitan一定是正定  你搞錯了, 12/08 23:52
[理工] 線代 第八章證明問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 吧  他們是必要條件的關係  不是充要條件, 12/08 23:52
[理工] 104 中央 離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 空集合代表  不存在任何東西  用存在這個字眼邏輯上就會形, 12/04 16:29
