[理工] 張凡P.55 計結問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: jump and link  =>  jal  會把跳以前的地址存到$ra, 04/23 14:46
[公告] 售書文置底專區 - 看板 graduate - 批踢踢實業坊,skyHuan,: [售] 工工所考科原文書意者站內 書籍詳,  36.228.69.233 06/15 14:48
[公告] 售書文置底專區 - 看板 graduate - 批踢踢實業坊,skyHuan,: 細資訊參見 #1R8r-eo- (textbook),  36.228.69.233 06/15 14:48
[理工] 時間複雜度問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 沒看過=不會考  今年三科總分可能只有100分, 04/24 20:54
[理工] 時間複雜度問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 這是在算statement個數吧，return rsum()+list[]整個是一, 04/24 21:09
[理工] 時間複雜度問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 個statement, 04/24 21:09
[心得] 108資工所考試心得 - 看板 graduate - 批踢踢實業坊,skyHuan,: 樓下eric,223.136.159.1 05/05 16:37
[心得] 108資工所考試心得 - 看板 graduate - 批踢踢實業坊,skyHuan,: 凹嗚~~~~~~~~~~~, 223.137.175.72 05/05 22:46
[理工] 計組pipeline - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 這屆進度怎麼都那麼快...  怕, 03/25 19:40
[理工] 計組pipeline - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 1. 是組合電路才對，序向電路是會受現在及過去輸入影響, 03/25 19:40
[理工] 計組pipeline - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 2. 不是compiler，BTB跟BHT是硬體, 03/25 19:40
Re: [情報] 亞洲大學排行 台灣32所入榜 - 看板 graduate - 批踢踢實業坊,skyHuan,: computer science  清 > 交,223.137.136.251 05/02 14:01
Re: [理工] 線代 p.1-63 範例4 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 這題自己寫應該是想到反矩陣比較直觀,04/04 08:38
Re: [理工] 線代 p.1-63 範例4 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: https://i.imgur.com/vzjAy1U.jpg,04/04 08:38
Re: [理工] 線代 p.1-63 範例4 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,": 解答是直接看出a,b,c生成三維空間了，才會直接設d是a,b,c",04/04 08:40
